Actual_Category,Predicted_Category,Actual_Priority,Predicted_Priority
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,High,Critical
Account access,Account access,Medium,Medium
Hardware issue,Hardware issue,High,Medium
Network problem,Network problem,High,Critical
Data loss,Data loss,Critical,Critical
Hardware issue,Hardware issue,High,Medium
Account access,Account access,High,Medium
Data loss,Data loss,Critical,Critical
Hardware issue,Hardware issue,Medium,Medium
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,Critical,Critical
Hardware issue,Hardware issue,High,Medium
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,High,Critical
Technical issue,Technical issue,High,High
Network problem,Network problem,High,Critical
Hardware issue,Hardware issue,High,High
Network problem,Network problem,Critical,Critical
Billing inquiry,Billing inquiry,Medium,Low
Account access,Account access,Medium,High
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,High,Critical
Data loss,Data loss,Critical,Critical
Data loss,Data loss,Critical,Critical
Account access,Account access,Medium,Medium
Hardware issue,Hardware issue,High,Medium
Billing inquiry,Billing inquiry,Medium,Low
Billing inquiry,Billing inquiry,Low,Low
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,High,Critical
Hardware issue,Hardware issue,Medium,Medium
Hardware issue,Hardware issue,High,Medium
Data loss,Data loss,Critical,Critical
Hardware issue,Hardware issue,Medium,High
Product inquiry,Product inquiry,Low,Low
Hardware issue,Hardware issue,High,Medium
Account access,Account access,High,Medium
Billing inquiry,Billing inquiry,Medium,Medium
Hardware issue,Hardware issue,High,Medium
Account access,Account access,Medium,Medium
Account access,Account access,Medium,High
Account access,Account access,High,Medium
Data loss,Data loss,Critical,Critical
Hardware issue,Hardware issue,Medium,Medium
Technical issue,Technical issue,High,High
Network problem,Network problem,High,Critical
Data loss,Data loss,Critical,Critical
Network problem,Network problem,Critical,Critical
Account access,Account access,High,Medium
Hardware issue,Hardware issue,Medium,Medium
Data loss,Data loss,Critical,Critical
Product inquiry,Product inquiry,Low,Low
Product inquiry,Product inquiry,Low,Low
Data loss,Data loss,Critical,Critical
Billing inquiry,Billing inquiry,Low,Low
Billing inquiry,Billing inquiry,Low,Low
Hardware issue,Hardware issue,Medium,Medium
Hardware issue,Hardware issue,Medium,Medium
Hardware issue,Hardware issue,Medium,High
Account access,Account access,High,Medium
Hardware issue,Hardware issue,High,Medium
Data loss,Data loss,High,Critical
Billing inquiry,Billing inquiry,Medium,Low
Hardware issue,Hardware issue,High,Medium
Technical issue,Technical issue,Medium,High
Data loss,Data loss,Critical,Critical
Technical issue,Technical issue,Medium,Medium
Technical issue,Technical issue,High,High
Data loss,Data loss,High,Critical
Data loss,Data loss,High,Critical
Billing inquiry,Billing inquiry,Medium,Medium
Technical issue,Technical issue,High,High
Network problem,Network problem,Critical,Critical
Product inquiry,Product inquiry,Low,Low
Account access,Account access,Medium,High
Data loss,Data loss,Critical,Critical
Billing inquiry,Billing inquiry,Low,Low
Data loss,Data loss,High,Critical
Data loss,Data loss,High,Critical
Data loss,Data loss,Critical,Critical
Data loss,Data loss,Critical,Critical
Account access,Account access,High,Medium
Billing inquiry,Billing inquiry,Low,Low
Network problem,Network problem,Critical,Critical
Account access,Account access,High,High
Data loss,Data loss,High,Critical
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
Product inquiry,Product inquiry,Low,Low
Hardware issue,Hardware issue,High,High
Hardware issue,Hardware issue,Medium,Medium
Product inquiry,Product inquiry,Low,Low
Account access,Account access,Medium,Medium
Data loss,Data loss,High,Critical
Data loss,Data loss,High,High
Network problem,Network problem,Critical,Critical
Billing inquiry,Billing inquiry,Medium,Low
Billing inquiry,Billing inquiry,Medium,Medium
Product inquiry,Product inquiry,Low,Low
Billing inquiry,Billing inquiry,Medium,Medium
Account access,Account access,Medium,Medium
Technical issue,Technical issue,Medium,Medium
Network problem,Network problem,High,Critical
Billing inquiry,Billing inquiry,Medium,Medium
Hardware issue,Hardware issue,Medium,Medium
Technical issue,Technical issue,High,Medium
Product inquiry,Product inquiry,Low,Low
Billing inquiry,Billing inquiry,Medium,Low
Hardware issue,Hardware issue,High,Medium
Billing inquiry,Billing inquiry,Low,Low
Billing inquiry,Billing inquiry,Low,Low
Hardware issue,Hardware issue,High,Medium
Technical issue,Technical issue,Medium,High
Technical issue,Technical issue,High,High
Billing inquiry,Billing inquiry,Medium,Medium
Technical issue,Technical issue,Medium,Medium
Billing inquiry,Billing inquiry,Medium,Medium
Network problem,Network problem,Critical,Critical
Product inquiry,Product inquiry,Low,Low
Account access,Account access,Medium,High
Hardware issue,Hardware issue,High,Medium
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,High,Critical
Data loss,Data loss,Critical,Critical
Hardware issue,Hardware issue,Medium,Medium
Account access,Account access,Medium,High
Technical issue,Technical issue,High,Medium
Billing inquiry,Billing inquiry,Low,Low
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
Account access,Account access,High,High
Technical issue,Technical issue,High,Medium
Technical issue,Technical issue,Medium,High
Billing inquiry,Billing inquiry,Low,Low
Account access,Account access,High,High
Hardware issue,Hardware issue,Medium,High
Technical issue,Technical issue,Medium,Medium
Product inquiry,Product inquiry,Low,Low
Account access,Account access,Medium,Medium
Technical issue,Technical issue,Medium,High
Billing inquiry,Billing inquiry,Low,Low
Account access,Account access,High,Medium
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
Technical issue,Technical issue,Medium,High
Account access,Account access,High,High
Billing inquiry,Billing inquiry,Medium,Low
Hardware issue,Hardware issue,Medium,Medium
Account access,Account access,High,High
Hardware issue,Hardware issue,High,Medium
Billing inquiry,Billing inquiry,Low,Low
Account access,Account access,High,Medium
Network problem,Network problem,Critical,Critical
Billing inquiry,Billing inquiry,Medium,Low
Account access,Account access,High,High
Data loss,Data loss,Critical,Critical
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,High,Critical
Account access,Account access,High,Medium
Network problem,Network problem,High,Critical
Technical issue,Technical issue,High,Medium
Technical issue,Technical issue,Medium,Medium
Network problem,Network problem,Critical,Critical
Account access,Account access,High,Medium
Product inquiry,Product inquiry,Low,Low
Technical issue,Technical issue,Medium,Medium
Billing inquiry,Billing inquiry,Low,Low
Account access,Account access,High,High
Account access,Account access,High,Medium
Account access,Account access,Medium,High
Network problem,Network problem,Critical,Critical
Data loss,Data loss,High,Critical
Hardware issue,Hardware issue,High,Medium
Product inquiry,Product inquiry,Low,Low
Hardware issue,Hardware issue,High,High
Data loss,Data loss,Critical,Critical
Technical issue,Technical issue,High,High
Product inquiry,Product inquiry,Low,Low
Data loss,Data loss,Critical,High
Network problem,Network problem,Critical,Critical
Product inquiry,Product inquiry,Low,Low
Hardware issue,Hardware issue,High,High
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,Critical,Critical
Account access,Account access,High,High
Hardware issue,Hardware issue,Medium,Medium
Data loss,Data loss,High,Critical
Data loss,Data loss,Critical,Critical
Network problem,Network problem,Critical,Critical
Billing inquiry,Billing inquiry,Medium,Low
Hardware issue,Hardware issue,High,High
Data loss,Data loss,Critical,Critical
Product inquiry,Product inquiry,Low,Low
Hardware issue,Hardware issue,Medium,Medium
Hardware issue,Hardware issue,Medium,Medium
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
Product inquiry,Product inquiry,Low,Low
Billing inquiry,Billing inquiry,Low,Medium
Technical issue,Technical issue,High,High
Hardware issue,Hardware issue,Medium,Medium
Billing inquiry,Billing inquiry,Low,Low
Technical issue,Technical issue,Medium,Medium
Account access,Account access,High,High
Technical issue,Technical issue,High,Medium
Product inquiry,Product inquiry,Low,Low
Billing inquiry,Billing inquiry,Medium,Low
Technical issue,Technical issue,Medium,High
Hardware issue,Hardware issue,High,Medium
Billing inquiry,Billing inquiry,Low,Low
Account access,Account access,Medium,High
Product inquiry,Product inquiry,Low,Low
Hardware issue,Hardware issue,Medium,Medium
Billing inquiry,Billing inquiry,Medium,Medium
Network problem,Network problem,High,Critical
Data loss,Data loss,Critical,Critical
Network problem,Network problem,Critical,Critical
Hardware issue,Hardware issue,High,High
Hardware issue,Hardware issue,High,High
Hardware issue,Hardware issue,High,Medium
Data loss,Data loss,Critical,Critical
Billing inquiry,Billing inquiry,Medium,Low
Network problem,Network problem,High,Critical
Network problem,Network problem,Critical,Critical
Hardware issue,Hardware issue,Medium,High
Hardware issue,Hardware issue,High,High
Data loss,Data loss,Critical,Critical
Hardware issue,Hardware issue,High,Medium
Billing inquiry,Billing inquiry,Low,Low
Technical issue,Technical issue,High,High
Network problem,Network problem,High,Critical
Technical issue,Technical issue,High,High
Data loss,Data loss,Critical,Critical
Billing inquiry,Billing inquiry,Low,Low
Technical issue,Technical issue,Medium,Medium
Account access,Account access,Medium,Medium
Hardware issue,Hardware issue,Medium,Medium
Product inquiry,Product inquiry,Low,Low
Network problem,Network problem,Critical,Critical
Account access,Account access,Medium,High
Network problem,Network problem,Critical,Critical
Network problem,Network problem,High,Critical
Technical issue,Technical issue,High,High
Hardware issue,Hardware issue,Medium,Medium
Hardware issue,Hardware issue,Medium,Medium
Data loss,Data loss,Critical,Critical
Data loss,Data loss,High,Critical
Technical issue,Technical issue,Medium,High
Data loss,Data loss,High,Critical
Product inquiry,Product inquiry,Low,Low
Account access,Account access,Medium,High
Hardware issue,Hardware issue,High,Medium
Hardware issue,Hardware issue,High,High
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
Hardware issue,Hardware issue,Medium,Medium
Network problem,Network problem,Critical,Critical
Network problem,Network problem,High,Critical
Account access,Account access,High,Medium
Account access,Account access,High,High
Data loss,Data loss,High,Critical
Product inquiry,Product inquiry,Low,Low
Data loss,Data loss,Critical,Critical
Hardware issue,Hardware issue,High,Medium
Account access,Account access,High,Medium
Account access,Account access,Medium,High
Network problem,Network problem,High,Critical
Billing inquiry,Billing inquiry,Medium,Low
Account access,Account access,Medium,Medium
Technical issue,Technical issue,Medium,Medium
Account access,Account access,Medium,High
Technical issue,Technical issue,Medium,High
Product inquiry,Product inquiry,Low,Low
Account access,Account access,High,Medium
Technical issue,Technical issue,Medium,Medium
Billing inquiry,Billing inquiry,Medium,Low
Product inquiry,Product inquiry,Low,Low
Technical issue,Technical issue,High,Medium
Data loss,Data loss,Critical,Critical
Data loss,Data loss,High,Critical
Hardware issue,Hardware issue,High,Medium
Hardware issue,Hardware issue,Medium,Medium
Hardware issue,Hardware issue,High,Medium
Technical issue,Technical issue,Medium,High
Network problem,Network problem,Critical,Critical
Data loss,Data loss,High,Critical
Account access,Account access,Medium,Medium
Technical issue,Technical issue,High,Medium
Account access,Account access,Medium,Medium
Account access,Account access,Medium,High
Account access,Account access,Medium,Medium
Product inquiry,Product inquiry,Low,Low
Data loss,Data loss,High,Critical
Technical issue,Technical issue,High,High
Data loss,Data loss,High,High
Network problem,Network problem,High,Critical
Product inquiry,Product inquiry,Low,Low
